Importer,Exporter,Count
Egypt,United Arab Emirates,8
Egypt,United Kingdom,11
Egypt,Uruguay,1
Egypt,Viet Nam,8
El Salvador,Argentina,1
El Salvador,Belize,1
El Salvador,Costa Rica,58
El Salvador,Czech Republic,7
El Salvador,Ecuador,7
El Salvador,France,20
El Salvador,Germany,48
El Salvador,Italy,1
El Salvador,Nicaragua,2
El Salvador,Niger,1
El Salvador,Peru,1
El Salvador,Spain,3
El Salvador,Taiwan,42
El Salvador,United States of America,2
Estonia,Australia,6
Estonia,Belarus,1
Estonia,China,15
Estonia,Qatar,1
Estonia,Russian Federation,26
Estonia,Singapore,1
Estonia,South Africa,20
Estonia,South Korea,64
Estonia,Switzerland,87
Estonia,Thailand,4
Estonia,Turkey,3
Estonia,Ukraine,1
Estonia,United States of America,1
Eswatini,Cameroon,5
Eswatini,Germany,2
Eswatini,Italy,1
Eswatini,Mozambique,8
Eswatini,South Africa,15
Eswatini,Thailand,7
Ethiopia,Belgium,4
Ethiopia,Germany,1
Ethiopia,Kenya,3
Ethiopia,Mali,1
Ethiopia,South Africa,3
Ethiopia,Sudan,5
Ethiopia,Switzerland,2
Ethiopia,Syrian Arab Republic,2
Ethiopia,United Arab Emirates,2
Faroe Islands,Belgium,11
Faroe Islands,Denmark,13
Faroe Islands,France,1
Faroe Islands,Greenland,3
Faroe Islands,Netherlands,547
Faroe Islands,Norway,2
Fiji,France,1
Fiji,New Zealand,1
Fiji,Papua New Guinea,3
Fiji,Thailand,58
Finland,Albania,1
Finland,Argentina,1
Finland,Canada,87
Finland,China,6
Finland,Japan,1
Finland,Kyrgyzstan,4
Finland,Myanmar,4
Finland,Norway,29
Finland,Russian Federation,21
Finland,Singapore,4
Finland,South Africa,52
Finland,South Korea,2
Finland,Switzerland,159
Finland,Thailand,2
Finland,Turkey,2
Finland,United Kingdom,7
Finland,United States of America,2
Finland,Uzbekistan,1
Finland,Zimbabwe,6
France,Albania,2
France,Argentina,14
France,Australia,907
France,Azerbaijan,2
France,Bahrain,2
France,Bangladesh,23
France,Belize,12
France,Benin,4
France,Bolivia (Plurinational State of),1
France,Botswana,4
France,Brazil,198
France,Burundi,2
France,Cambodia,1
France,Cameroon,22
France,Canada,438
France,Central African Republic,2
France,Chad,16
France,Chile,2
France,China,807
France,Colombia,8
France,Congo,2
France,Costa Rica,1
France,Côte d'Ivoire,2
France,Democratic Republic of the Congo,1
France,Dominican Republic,2
France,Ecuador,1
France,Egypt,1
France,Ethiopia,14
France,France,696
France,Gabon,1
France,Ghana,2
France,Guernsey,1
France,Hong Kong,614
France,India,1204
France,Indonesia,4565
France,Iran (Islamic Republic of),19
France,Israel,13
France,Jamaica,15
France,Japan,898
France,Jersey,3
France,Kazakhstan,18
France,Kenya,1
France,Kuwait,30
France,Kyrgyzstan,29
France,Lao People's Democratic Republic,49
France,Lebanon,8
France,Macao,42
France,Madagascar,1393
France,Malaysia,317
France,Mali,6
France,Mauritius,596
France,Mexico,145
France,Monaco,44
France,Mongolia,3
France,Montenegro,3
France,Morocco,54
France,Mozambique,8
France,Nepal,2
France,New Zealand,11
France,Norway,58
France,Panama,8
France,Papua New Guinea,18
France,Paraguay,15
France,Peru,21
France,Qatar,397
France,Russian Federation,587
France,Saint Barthélemy,12
France,Saint Kitts and Nevis,22
France,Saudi Arabia,8
France,Senegal,15
France,Serbia,1
France,Singapore,8923
France,South Africa,311
France,South Korea,258
France,Sri Lanka,55
France,Suriname,1
France,Switzerland,43276
France,Taiwan,382
France,Tajikistan,13
France,"Tanzania, United Republic of",62
France,Thailand,860
France,Togo,26
France,Tunisia,956
France,Turkey,453
France,Uganda,8
France,Ukraine,26
France,United Arab Emirates,764
France,United Kingdom,489
France,United States of America,973
France,Uruguay,52
France,Uzbekistan,28
France,Vanuatu,3
France,Viet Nam,186
France,Zambia,34
France,Zimbabwe,191
French Guiana,China,1
French Guiana,Netherlands,1046
French Guiana,Singapore,1
French Guiana,Suriname,1
French Polynesia,Germany,1
French Polynesia,Italy,6
French Polynesia,Singapore,2
Gabon,Cameroon,2
Gabon,France,32
Gabon,Thailand,1
Gambia,South Africa,5
Georgia,Armenia,17
Georgia,Austria,23
Georgia,Azerbaijan,2
Georgia,Belarus,8
Georgia,China,2
Georgia,Czech Republic,45
Georgia,Ethiopia,4
Georgia,France,171
Georgia,Germany,59
Georgia,Hungary,3
Georgia,Indonesia,31
Georgia,Iran (Islamic Republic of),38
Georgia,Ireland,1
Georgia,Italy,109
Georgia,Latvia,2
Georgia,Netherlands,865
Georgia,Poland,8
Georgia,Qatar,5
Georgia,South Africa,3
Georgia,Spain,5
Georgia,Switzerland,67
Georgia,"Tanzania, United Republic of",1
Georgia,Turkey,1
Georgia,United Arab Emirates,14
Georgia,Uzbekistan,2
Germany,Albania,2
Germany,Argentina,44
Germany,Australia,4444
Germany,Azerbaijan,19
Germany,Bahrain,12
Germany,Bangladesh,8
Germany,Belarus,1
Germany,Bolivia (Plurinational State of),4
Germany,Bosnia and Herzegovina,1
Germany,Botswana,19
Germany,Brazil,1330
Germany,Cabo Verde,1
Germany,Cameroon,13
Germany,Canada,639
Germany,Cayman Islands,6
Germany,Central African Republic,7
Germany,Chad,1
Germany,Chile,18
Germany,China,1382
Germany,Colombia,7048
Germany,Costa Rica,78
Germany,Côte d'Ivoire,71
Germany,Democratic Republic of the Congo,6
Germany,Dominican Republic,1
Germany,Ecuador,20117
Germany,Egypt,1
Germany,El Salvador,12
Germany,French Polynesia,23
Germany,Gabon,72
Germany,Georgia,10
Germany,Ghana,15
Germany,Greenland,15
Germany,Guatemala,6
Germany,Guinea,1
Germany,Guyana,79
Germany,Hong Kong,14
Germany,India,3192
Germany,Indonesia,6938
Germany,Iran (Islamic Republic of),21
Germany,Israel,15
Germany,Japan,167
Germany,Jersey,4
Germany,Kazakhstan,26
Germany,Kenya,93
Germany,Kuwait,2
Germany,Kyrgyzstan,86
Germany,Lao People's Democratic Republic,1
Germany,Liberia,1
Germany,Macao,3
Germany,Madagascar,7
Germany,Malaysia,55
Germany,Mauritius,6
Germany,Mexico,50
Germany,Micronesia (Federated States of),23
Germany,Moldova (Republic of),94
Germany,Monaco,7
Germany,Mongolia,18
Germany,Montenegro,5
Germany,Morocco,1
Germany,Mozambique,59
Germany,Nepal,2
Germany,New Zealand,5
Germany,Nicaragua,8
Germany,North Macedonia,16
Germany,Norway,12
Germany,Pakistan,17
Germany,Panama,5
Germany,Papua New Guinea,11
Germany,Paraguay,7
Germany,Peru,478
Germany,Philippines,575
Germany,Qatar,27
Germany,Russian Federation,85
Germany,Saint Kitts and Nevis,7
Germany,Saudi Arabia,1
Germany,Senegal,1
Germany,Serbia,25
Germany,Seychelles,6
Germany,Sierra Leone,5
Germany,Singapore,299
Germany,Sint Maarten (Dutch part),2
Germany,South Africa,1114
Germany,South Korea,118
Germany,Sri Lanka,96
Germany,Suriname,21
Germany,Switzerland,11563
Germany,Taiwan,639
Germany,Tajikistan,20
Germany,"Tanzania, United Republic of",37
Germany,Thailand,2980
Germany,Togo,4
Germany,Turkey,125
Germany,Uganda,3
Germany,Ukraine,8
Germany,United Arab Emirates,115
Germany,United Kingdom,538
Germany,United States of America,656
Germany,Uzbekistan,76
Germany,Venezuela (Bolivarian Republic of),4
Germany,Viet Nam,97
Germany,Virgin Islands (British),2
Germany,Zambia,9
Germany,Zimbabwe,143
Ghana,Benin,5
Ghana,China,3
Ghana,Congo,2
Ghana,Denmark,3
Ghana,France,2
Ghana,Germany,11
Ghana,Italy,31
Ghana,Lebanon,1
Ghana,Mali,4
Ghana,Netherlands,2368
Ghana,Niger,5
Ghana,Philippines,21
Ghana,South Africa,30
Ghana,Spain,3
Ghana,Switzerland,1
Ghana,Thailand,501
Ghana,Togo,5
Ghana,United Kingdom,1
Gibraltar,Ireland,3
Gibraltar,Netherlands,1
Gibraltar,Spain,64
Gibraltar,Switzerland,20
Gibraltar,Virgin Islands (British),5
Greece,Albania,1
Greece,Andorra,7
Greece,Australia,1
Greece,Benin,2
Greece,Brazil,1
Greece,Canada,41
Greece,China,24
Greece,Ghana,1
Greece,Hong Kong,8
Greece,Indonesia,109
Greece,Iran (Islamic Republic of),2
Greece,Israel,3
Greece,Japan,10
Greece,Kuwait,1
Greece,North Korea,1
Greece,Singapore,3
Greece,South Africa,8
Greece,South Korea,1
Greece,Switzerland,708
Greece,Taiwan,16
Greece,Thailand,37
Greece,Turkey,3
Greece,United Arab Emirates,7
Greece,United Kingdom,6
Greece,United States of America,42
Greece,Viet Nam,5
Greece,Zimbabwe,2
Greenland,Denmark,8
Greenland,Iceland,2
Grenada,Barbados,1
Grenada,Netherlands,1
Grenada,Thailand,19
Guadeloupe,Brazil,4
Guadeloupe,Côte d'Ivoire,12
Guadeloupe,Switzerland,20
Guadeloupe,Thailand,114
Guam,Netherlands,3
Guam,Palau,18
Guam,Singapore,63
Guam,Switzerland,32
Guam,Thailand,66
Guatemala,Belgium,34
Guatemala,Costa Rica,14
Guatemala,Cuba,56
Guatemala,Czech Republic,2
Guatemala,El Salvador,1
Guatemala,Ethiopia,1
Guatemala,France,159
Guatemala,Germany,60
Guatemala,Israel,1
Guatemala,Italy,1
Guatemala,Mexico,18
Guatemala,Netherlands,25
Guatemala,Peru,40
Guatemala,South Korea,2
Guatemala,Spain,6
Guatemala,Sweden,2
Guatemala,Switzerland,37
Guatemala,Thailand,5
Guernsey,Austria,1
Guernsey,Jersey,2
Guernsey,Netherlands,4
Guernsey,Spain,2
Guernsey,United Kingdom,126
Guernsey,United States of America,2
Guinea,France,4
Guinea,Germany,3
Guinea,United Kingdom,4
Guyana,Belize,1
Guyana,Oman,6
Guyana,Thailand,9
Haiti,Brazil,20
Haiti,France,11
Haiti,Ghana,1
Haiti,Switzerland,2
Holy See,Germany,57
Holy See,Switzerland,6
Honduras,Canada,1
Honduras,Costa Rica,4
Honduras,El Salvador,10
Honduras,Germany,4
Honduras,Switzerland,1
Honduras,United States of America,8
Honduras,Zimbabwe,2
Hong Kong,Argentina,6
Hong Kong,Australia,1528
Hong Kong,Austria,817
Hong Kong,Azerbaijan,5
Hong Kong,Bahamas,4
Hong Kong,Belarus,5
Hong Kong,Belgium,206
Hong Kong,Belize,5
Hong Kong,Benin,3
Hong Kong,Brazil,15
Hong Kong,Bulgaria,1
Hong Kong,Cambodia,1
Hong Kong,Canada,1731
Hong Kong,Chile,20
Hong Kong,Colombia,19
Hong Kong,Costa Rica,90
Hong Kong,Czech Republic,239
Hong Kong,Democratic Republic of the Congo,1
Hong Kong,Denmark,72
Hong Kong,Ecuador,1240
Hong Kong,Egypt,3
Hong Kong,El Salvador,122
Hong Kong,Estonia,4
Hong Kong,Eswatini,3
Hong Kong,Finland,25
Hong Kong,France,16843
Hong Kong,French Polynesia,1
Hong Kong,Germany,414
Hong Kong,Ghana,4
Hong Kong,Greece,12
Hong Kong,Guam,1
Hong Kong,Guatemala,9
Hong Kong,Honduras,2
Hong Kong,Hungary,2
Hong Kong,India,11
Hong Kong,Indonesia,11705
Hong Kong,Iran (Islamic Republic of),37
Hong Kong,Ireland,109
Hong Kong,Italy,1161
Hong Kong,Japan,2182
Hong Kong,Kenya,71
Hong Kong,Kuwait,6
Hong Kong,Latvia,9
Hong Kong,Lithuania,2
Hong Kong,Madagascar,963
Hong Kong,Malaysia,1016
Hong Kong,Mali,16
Hong Kong,Mauritania,1
Hong Kong,Mauritius,8
Hong Kong,Mexico,285
Hong Kong,Monaco,8
Hong Kong,Morocco,34
Hong Kong,Myanmar,3
Hong Kong,Netherlands,3209
Hong Kong,New Zealand,134
Hong Kong,Nicaragua,66
Hong Kong,North Macedonia,32
Hong Kong,Norway,17
Hong Kong,Oman,189
Hong Kong,Panama,1
Hong Kong,Papua New Guinea,54
Hong Kong,Paraguay,7
Hong Kong,Peru,360
Hong Kong,Philippines,60
Hong Kong,Poland,22
Hong Kong,Portugal,91
Hong Kong,Romania,6
Hong Kong,Russian Federation,216
Hong Kong,San Marino,8
Hong Kong,Senegal,27
Hong Kong,Serbia,2
Hong Kong,Seychelles,55
Hong Kong,Singapore,8855
Hong Kong,Slovenia,19
Hong Kong,South Africa,18
Hong Kong,South Korea,1265
Hong Kong,Spain,1669
Hong Kong,Sri Lanka,1879
Hong Kong,Sudan,4
Hong Kong,Suriname,23
Hong Kong,Sweden,3
Hong Kong,Switzerland,5546
Hong Kong,Syrian Arab Republic,9
Hong Kong,Thailand,1960
Hong Kong,Togo,7
Hong Kong,Tonga,391
Hong Kong,Turkey,9
Hong Kong,Uganda,2
Hong Kong,Ukraine,7
Hong Kong,United Arab Emirates,278
Hong Kong,United Kingdom,800
Hong Kong,United States of America,477
Hong Kong,Uzbekistan,16
Hong Kong,Vanuatu,2
Hong Kong,Viet Nam,201
Hong Kong,Virgin Islands (British),1
Hong Kong,Yemen,183
Hong Kong,Zambia,54
Hong Kong,Zimbabwe,12
Hungary,Azerbaijan,9
Hungary,Canada,32
Hungary,China,9
Hungary,Ethiopia,2
Hungary,Ghana,15
Hungary,India,1
Hungary,Indonesia,5
Hungary,Israel,1
Hungary,Japan,1
Hungary,Kenya,1
Hungary,Kyrgyzstan,28
Hungary,Madagascar,51
Hungary,Mexico,2
Hungary,Montenegro,1
Hungary,North Macedonia,1
Hungary,Pakistan,2
Hungary,Russian Federation,19
Hungary,Serbia,8
Hungary,Singapore,9
Hungary,South Africa,285
Hungary,South Korea,1
Hungary,Switzerland,424
Hungary,Taiwan,34
Hungary,"Tanzania, United Republic of",6
Hungary,Thailand,78
Hungary,Turkey,17
Hungary,United Arab Emirates,7
Hungary,United Kingdom,7
Hungary,United States of America,14
Hungary,Viet Nam,16
Hungary,Zambia,12
Hungary,Zimbabwe,81
Iceland,Argentina,1
Iceland,Belgium,4
Iceland,Canada,11
Iceland,Denmark,13
Iceland,Estonia,2
Iceland,France,70
Iceland,Germany,50
Iceland,Greenland,4
Iceland,Hungary,2
Iceland,Indonesia,98
Iceland,Italy,1
Iceland,Netherlands,864
Iceland,Norway,1
Iceland,Singapore,1
Iceland,South Africa,13
Iceland,Spain,2
Iceland,Switzerland,5
Iceland,United Kingdom,2
Iceland,United States of America,2
India,Argentina,2
India,Belgium,5
India,Brazil,1
India,Canada,17
India,China,193
India,Czech Republic,15
India,Democratic Republic of the Congo,1
India,Denmark,1
India,Estonia,1
India,Ethiopia,2
India,France,569
India,Germany,82
India,Guernsey,1
India,Hong Kong,6
India,Indonesia,46
India,Ireland,44
India,Italy,305
India,Japan,76
India,Kuwait,8
India,Malaysia,38
India,Mauritius,6
India,Mexico,1
India,Nepal,104
India,Netherlands,3
India,Papua New Guinea,3
India,Paraguay,27
India,Peru,2
India,Philippines,1
India,Portugal,3
India,Qatar,11
India,Réunion,2
India,Saudi Arabia,5
India,Seychelles,3
India,Singapore,385
India,Slovenia,2
India,South Africa,15
India,South Korea,20
India,Spain,34
India,Sri Lanka,3
India,Switzerland,1017
India,Taiwan,7
India,"Tanzania, United Republic of",1
India,Thailand,856
India,Uganda,7
India,United Arab Emirates,383
India,United Kingdom,28
India,United States of America,2
India,Viet Nam,19
India,Virgin Islands (British),1
Indonesia,Argentina,4
Indonesia,Australia,9
Indonesia,Austria,14
Indonesia,Bahrain,1
Indonesia,Belgium,5
Indonesia,Benin,5
Indonesia,Brazil,2
Indonesia,Canada,4
Indonesia,China,100
Indonesia,Colombia,18
Indonesia,Cyprus,63
Indonesia,Czech Republic,134
Indonesia,Democratic Republic of the Congo,3
Indonesia,Egypt,21
Indonesia,El Salvador,8
Indonesia,Ethiopia,16
Indonesia,France,511
Indonesia,Germany,94
Indonesia,Ghana,47
Indonesia,Guyana,59
Indonesia,Hong Kong,349
Indonesia,Hungary,3
Indonesia,India,21
Indonesia,Ireland,1
Indonesia,Italy,243
Indonesia,Japan,153
Indonesia,Kenya,31
Indonesia,Kuwait,5
Indonesia,Kyrgyzstan,10
Indonesia,Latvia,1
Indonesia,Malaysia,30
Indonesia,Mali,14
Indonesia,Mauritius,20
Indonesia,Netherlands,223
Indonesia,North Macedonia,4
Indonesia,Norway,4
Indonesia,Paraguay,5
Indonesia,Peru,5
Indonesia,Philippines,29
Indonesia,Poland,2
Indonesia,Russian Federation,10
Indonesia,Saudi Arabia,2
Indonesia,Seychelles,11
Indonesia,Singapore,2505
Indonesia,Slovakia,2
Indonesia,Slovenia,39
Indonesia,Solomon Islands,6
Indonesia,South Africa,730
Indonesia,South Korea,27
Indonesia,Spain,70
Indonesia,Sri Lanka,15
Indonesia,Sudan,11
Indonesia,Suriname,64
Indonesia,Switzerland,74
Indonesia,Syrian Arab Republic,27
Indonesia,Taiwan,14
Indonesia,Thailand,677
Indonesia,Togo,120
Indonesia,Uganda,11
Indonesia,Ukraine,3
Indonesia,United Arab Emirates,14
Indonesia,United Kingdom,76
Indonesia,United States of America,59
Indonesia,Uzbekistan,13
Indonesia,Venezuela (Bolivarian Republic of),2
Indonesia,Viet Nam,103
Indonesia,Zambia,53
Indonesia,Zimbabwe,7
Iran (Islamic Republic of),Armenia,1
Iran (Islamic Republic of),Belgium,1
Iran (Islamic Republic of),China,6
Iran (Islamic Republic of),Czech Republic,8
Iran (Islamic Republic of),France,4
Iran (Islamic Republic of),Germany,21
Iran (Islamic Republic of),Indonesia,252
Iran (Islamic Republic of),Italy,3
Iran (Islamic Republic of),Kuwait,16
Iran (Islamic Republic of),Kyrgyzstan,1
Iran (Islamic Republic of),Malaysia,3
Iran (Islamic Republic of),Netherlands,4
Iran (Islamic Republic of),Qatar,7
Iran (Islamic Republic of),Russian Federation,2
Iran (Islamic Republic of),South Africa,33
Iran (Islamic Republic of),Switzerland,31
Iran (Islamic Republic of),Thailand,28
Iran (Islamic Republic of),Uganda,1
Iran (Islamic Republic of),United Arab Emirates,2
Iran (Islamic Republic of),United Kingdom,1
Iran (Islamic Republic of),Viet Nam,13
Iraq,Austria,13
Iraq,Belgium,29
Iraq,China,2
Iraq,Czech Republic,457
Iraq,Democratic Republic of the Congo,8
Iraq,Egypt,7
Iraq,Estonia,4
Iraq,France,40
Iraq,Germany,54
Iraq,Greece,2
Iraq,India,1
Iraq,Indonesia,235
Iraq,Iran (Islamic Republic of),5
Iraq,Ireland,7
Iraq,Italy,115
Iraq,Jordan,3
Iraq,Kuwait,6
Iraq,Lebanon,6
Iraq,Netherlands,2493
Iraq,Philippines,6
Iraq,Poland,1
Iraq,Portugal,1
Iraq,Qatar,9
Iraq,Senegal,3
Iraq,South Africa,1227
Iraq,Spain,10
Iraq,Switzerland,103
Iraq,Thailand,22
Iraq,United Arab Emirates,3
Iraq,Viet Nam,4
Ireland,Australia,93
Ireland,Brazil,1
Ireland,Canada,17
Ireland,China,2
Ireland,Greenland,1
Ireland,Hong Kong,8
Ireland,Iceland,1
Ireland,India,1
Ireland,Indonesia,146
Ireland,Japan,5
Ireland,Kyrgyzstan,1
Ireland,Malaysia,1
Ireland,Monaco,1
Ireland,Norway,4
Ireland,Peru,2
Ireland,Russian Federation,1
Ireland,Saint Kitts and Nevis,3
Ireland,Singapore,9
Ireland,South Africa,30
Ireland,South Korea,139
Ireland,Switzerland,1654
Ireland,Taiwan,1
Ireland,Thailand,69
Ireland,United Arab Emirates,1
Ireland,United Kingdom,264
Ireland,United States of America,17
Ireland,Zimbabwe,6
Isle of Man,Bahrain,1
Isle of Man,Belgium,1
Isle of Man,France,7
Isle of Man,Germany,6
Isle of Man,Italy,4
Isle of Man,United Kingdom,8
Israel,Armenia,8
Israel,Australia,7
Israel,Austria,66
Israel,Azerbaijan,6
Israel,Belgium,58
Israel,Bermuda,3
Israel,Bulgaria,7
Israel,Canada,4
Israel,China,35
Israel,Colombia,1
Israel,Czech Republic,22
Israel,Denmark,2
Israel,France,520
Israel,Germany,190
Israel,Greece,1
Israel,Hong Kong,156
Israel,Hungary,1
Israel,Indonesia,76
Israel,Ireland,1
Israel,Italy,73
Israel,Japan,26
Israel,Latvia,4
Israel,Mauritius,1
Israel,Moldova (Republic of),3
Israel,Netherlands,3855
Israel,Portugal,1
Israel,Romania,1
Israel,Serbia,1
Israel,Singapore,2
Israel,South Africa,6
Israel,South Korea,2
Israel,Spain,29
Israel,Sweden,5
Israel,Switzerland,418
Israel,Thailand,51
Israel,Turkey,2
Israel,United Kingdom,23
Israel,United States of America,4
Italy,Albania,1
Italy,Argentina,51
Italy,Australia,1059
Italy,Bahamas,1
Italy,Bahrain,2
Italy,Barbados,3
Italy,Belarus,11
Italy,Benin,9
Italy,Bosnia and Herzegovina,1
Italy,Botswana,3
Italy,Brazil,20
Italy,Cabo Verde,4
Italy,Cameroon,5
Italy,Canada,298
Italy,China,957
Italy,Colombia,220
Italy,Côte d'Ivoire,5
Italy,Democratic Republic of the Congo,4
Italy,El Salvador,46
Italy,Georgia,1
Italy,Greenland,1
Italy,Guatemala,10
Italy,Honduras,2
Italy,Hong Kong,67
Italy,India,33
Italy,Indonesia,2696
Italy,Iran (Islamic Republic of),5
Italy,Japan,1022
Italy,Kazakhstan,1
Italy,Kenya,14
Italy,Kuwait,167
Italy,Kyrgyzstan,2
Italy,Macao,145
Italy,Madagascar,1
Italy,Malaysia,24
Italy,Mexico,24
Italy,Monaco,113
Italy,Montenegro,1
Italy,Morocco,2
Italy,Mozambique,2
Italy,New Zealand,209
Italy,North Macedonia,15
Italy,Norway,4
Italy,Pakistan,5
Italy,Palau,1
Italy,Panama,15
Italy,Peru,83
Italy,Philippines,3
Italy,Qatar,199
Italy,Russian Federation,54
Italy,Saint Kitts and Nevis,1
Italy,Senegal,13
Italy,Serbia,1
Italy,Seychelles,4
Italy,Singapore,2972
Italy,South Africa,275
Italy,South Korea,381
Italy,Sri Lanka,46
Italy,Switzerland,5782
Italy,Taiwan,83
Italy,Tajikistan,3
Italy,"Tanzania, United Republic of",8
Italy,Thailand,198
Italy,Togo,3
Italy,Tunisia,6
Italy,Turkey,236
Italy,Ukraine,4
Italy,United Arab Emirates,354
Italy,United Kingdom,372
Italy,United States of America,452
Italy,Uzbekistan,92
Italy,Venezuela (Bolivarian Republic of),2
Italy,Viet Nam,133
Italy,Zambia,45
Italy,Zimbabwe,72
Jamaica,Bolivia (Plurinational State of),1
Jamaica,Canada,1
Jamaica,Costa Rica,23
Jamaica,Côte d'Ivoire,1
Jamaica,Germany,2
Jamaica,Switzerland,28
Jamaica,Thailand,117
Jamaica,Turkey,1
Japan,Argentina,24
Japan,Australia,1675
Japan,Austria,916
Japan,Azerbaijan,11
Japan,Bahamas,11
Japan,Belgium,1400
Japan,Belize,33
Japan,Benin,13
Japan,Bhutan,1
Japan,Bolivia (Plurinational State of),16
Japan,Brazil,861
Japan,Bulgaria,8
Japan,Cambodia,44
Japan,Cameroon,52
Japan,Canada,913
Japan,China,4526
Japan,Colombia,252
Japan,Costa Rica,11
Japan,Cyprus,15
Japan,Czech Republic,1071
Japan,Democratic Republic of the Congo,16
Japan,Denmark,118
Japan,Ecuador,3033
Japan,Egypt,26
Japan,El Salvador,20
Japan,Estonia,1
Japan,Ethiopia,1
Japan,Falkland Islands (Malvinas),2
Japan,Finland,31
Japan,France,21216
Japan,Gabon,2
Japan,Germany,2886
Japan,Ghana,113
Japan,Greece,8
Japan,Guatemala,152
Japan,Guyana,104
Japan,Hong Kong,1966
Japan,Hungary,84
Japan,Iceland,6
Japan,India,106
Japan,Indonesia,10888
Japan,Iran (Islamic Republic of),52
Japan,Ireland,518
Japan,Israel,11
Japan,Italy,10625
Japan,Jamaica,60
Japan,Jordan,20
Japan,Kenya,152
Japan,Latvia,106
Japan,Lebanon,13
Japan,Macao,22
Japan,Madagascar,1313
Japan,Malaysia,1141
Japan,Mauritius,8
Japan,Mexico,93
Japan,Moldova (Republic of),105
Japan,Monaco,11
Japan,Mongolia,6
Japan,Mozambique,10
Japan,Nepal,3
Japan,Netherlands,1442
Japan,New Zealand,18
Japan,Nicaragua,213
Japan,North Korea,1
Japan,North Macedonia,6
Japan,Norway,8
Japan,Palau,5
Japan,Papua New Guinea,79
Japan,Paraguay,11
Japan,Peru,349
Japan,Philippines,891
Japan,Poland,83
Japan,Portugal,65
Japan,Romania,4
Japan,Russian Federation,591
Japan,Senegal,4
Japan,Singapore,18888
Japan,Sint Maarten (Dutch part),2
Japan,Slovakia,3
Japan,Slovenia,101
Japan,Solomon Islands,15
Japan,South Africa,575
Japan,South Korea,6378
Japan,Spain,2648
Japan,Sri Lanka,1161
Japan,Sudan,15
Japan,Suriname,19
Japan,Sweden,8
Japan,Switzerland,16209
Japan,Syrian Arab Republic,17
Japan,Taiwan,11299
Japan,"Tanzania, United Republic of",4
Japan,Thailand,5915
Japan,Togo,239
Japan,Tonga,271
Japan,Turkey,3
Japan,Uganda,12
Japan,Ukraine,39
Japan,United Arab Emirates,34
Japan,United Kingdom,1201
Japan,United States of America,901
Japan,Uruguay,61
Japan,Uzbekistan,44
Japan,Viet Nam,5830
Japan,Zambia,48
Japan,Zimbabwe,55
Jersey,Austria,7
Jersey,Canada,1
Jersey,France,3
Jersey,Germany,4
Jersey,Malaysia,1
Jersey,Spain,2
Jersey,United Kingdom,61
Jordan,Bahrain,2
Jordan,Belarus,14
Jordan,Belgium,3
Jordan,Brazil,1
Jordan,China,37
Jordan,Colombia,1
Jordan,Cyprus,11
Jordan,Czech Republic,36
Jordan,Estonia,5
Jordan,France,138
Jordan,Germany,53
Jordan,Guyana,8
Jordan,India,1
Jordan,Indonesia,136
Jordan,Ireland,12
Jordan,Italy,32
Jordan,Japan,16
Jordan,Kuwait,70
Jordan,Lebanon,2
Jordan,Madagascar,2
Jordan,Mali,1
Jordan,Netherlands,4008
Jordan,Oman,2
Jordan,Pakistan,3
Jordan,Portugal,3
Jordan,Qatar,137
Jordan,Saudi Arabia,7
Jordan,Senegal,1
Jordan,South Africa,132
Jordan,Spain,2
Jordan,Sri Lanka,6
Jordan,Sudan,2
Jordan,Switzerland,211
Jordan,Thailand,24
Jordan,United Arab Emirates,84
Jordan,Viet Nam,21
Kazakhstan,Armenia,9
Kazakhstan,Austria,30
Kazakhstan,Azerbaijan,67
Kazakhstan,Belarus,66
Kazakhstan,Canada,1
Kazakhstan,China,11
Kazakhstan,Czech Republic,3
Kazakhstan,France,1043
Kazakhstan,Germany,296
Kazakhstan,Greece,7
Kazakhstan,Indonesia,47
Kazakhstan,Ireland,3
Kazakhstan,Italy,271
Kazakhstan,Kuwait,2
Kazakhstan,Kyrgyzstan,15
Kazakhstan,Netherlands,1260
Kazakhstan,Pakistan,1
Kazakhstan,Qatar,26
Kazakhstan,Romania,1
Kazakhstan,Russian Federation,48
Kazakhstan,San Marino,2
Kazakhstan,Saudi Arabia,1
Kazakhstan,Singapore,2
Kazakhstan,South Africa,8
Kazakhstan,Spain,4
Kazakhstan,Switzerland,127
Kazakhstan,Tajikistan,2
Kazakhstan,Thailand,66
Kazakhstan,Turkey,8
Kazakhstan,United Arab Emirates,165
Kazakhstan,United Kingdom,2
Kazakhstan,Uzbekistan,25
Kenya,China,5
Kenya,France,3
Kenya,Germany,15
Kenya,Iran (Islamic Republic of),1
Kenya,Italy,6
Kenya,Netherlands,244
Kenya,Senegal,6
Kenya,Singapore,9
Kenya,South Africa,5
Kenya,Sri Lanka,1
Kenya,Switzerland,23
Kenya,"Tanzania, United Republic of",6
Kenya,Thailand,82
Kenya,United Kingdom,4
Kenya,United States of America,2
Kenya,Zambia,1
Kiribati,Germany,1
Kuwait,Australia,82
Kuwait,Austria,7
Kuwait,Bahrain,143
Kuwait,Bangladesh,33
Kuwait,Belgium,317
Kuwait,Cambodia,1
Kuwait,Canada,4
Kuwait,China,26
Kuwait,Colombia,4
Kuwait,Czech Republic,447
Kuwait,Democratic Republic of the Congo,9
Kuwait,Ecuador,2
Kuwait,El Salvador,6
Kuwait,France,1334
